Sentence,M,T,Cycle,Temperature,Spin Speed,Soil Level,Options,Time,Note
wash my towels using a handwash cycle and do not make any sound.,"[[['wash'], ['towel']], [['use'], ['handwash', 'cycle']], [['make'], ['sound']], [['handwash', 'cycle'], []], [['not'], ['make']], [['do'], ['make']], [['do', 'not'], ['make', 'sound']]]",[],hand_wash,warm,low,medium,"[False, False, False, False, True]",Start at 03:27 am,[]
do handwashing for my wool sweaters after 1 hour and lock the control.,"[[['do'], ['handwashing']], [['lock'], ['control']], [['wool', 'sweater'], []], [['1'], ['hour']], [['do', 'do'], ['hour', 'handwashing', '1', 'hour', 'handwashing']]]","['for', '1', 'hour', 'control', 'after', [['1'], ['hour']]]",hand_wash,warm,low,medium,"[False, False, False, True, False]",Start at 04:27 am,[]
mute sound and do handwash for my pillowcases.,"[[['mute'], ['sound']], [['do'], ['handwash']]]",[],hand_wash,warm,low,medium,"[False, False, False, False, True]",Start at 03:27 am,[]
wash clothes using handwashing mode. don't make any sound.,"[[['wash'], ['clothes']], [['use'], ['handwashing', 'mode']], [['make'], ['sound']], [['handwashing', 'mode'], []], [['not'], ['make']], [['do'], ['make']], [['do', 'not'], ['make', 'sound']]]",[],hand_wash,warm,low,medium,"[False, False, False, False, True]",Start at 03:27 am,[]
do handwashing and mute the sound.,"[[['do'], ['handwashing']], [['mute'], ['sound']]]",[],hand_wash,warm,low,medium,"[False, False, False, False, True]",Start at 03:27 am,[]
wash in my favorite cycle after 3 hours from now and be quiet.,"[[['favorite'], ['cycle']], [['3'], ['hour']], [['be'], ['quiet']]]","[[['3'], ['hour']]]",my_favorite,warm,max,medium,"[False, False, False, False, True]",Start at 06:27 am,[]
clean these clothes with my favorite mode. mute any sound.,"[[['clean'], ['clothes']], [['mute'], ['sound']], [['favorite'], ['mode']], [['clean'], ['favorite', 'mode', 'clothes']]]",[],my_favorite,warm,max,medium,"[False, False, False, False, True]",Start at 03:27 am,[]
use my favorite cycle and start after 10 minutes.,"[[['use'], ['cycle']], [['favorite'], ['cycle']], [['10'], ['minute']]]","[[['10'], ['minute']]]",my_favorite,warm,max,medium,"[False, False, False, False, False]",Start at 03:37 am,[]
disable all controls while washing in my favorite mode.,"[[['disable'], ['control']], [['favorite'], ['mode']]]",[],my_favorite,warm,max,medium,"[False, False, False, True, False]",Start at 03:27 am,[]
wash my shirts in 1 hr. use my favorite cycle.,"[[['wash'], ['shirt']], [['use'], ['cycle']], [['1'], ['hr.']], [['favorite'], ['cycle']], [['wash'], ['1', 'hr.', 'shirt']]]","['in', '1', 'hr', 'cycle', [['1'], ['hr']]]",my_favorite,warm,max,medium,"[False, False, False, False, False]",Start at 03:27 am,[]
do steam refresh for my shirts. don't make any sound & lock all control.,"[[['do'], ['steam', 'refresh']], [['make'], ['sound']], [['lock'], ['control']], [['steam', 'refresh'], []], [['not'], ['make']], [['do'], ['make']], [['do', 'not'], ['make', 'sound']]]",[],steam_refresh,hot,no spin,None,"[False, False, False, True, True]",Start at 03:27 am,[]
start steam after 30 minutes and do control lock.,"[[['start'], ['steam']], [['do'], ['control', 'lock']], [['control', 'lock'], []], [['30'], ['minute']]]","['after', '30', 'control', 'lock', [['30'], ['minute']]]",steam_refresh,hot,no spin,None,"[False, False, False, True, False]",Start at 03:57 am,[]
steam my teddy bear. and be quiet.,"[[['steam'], ['teddy', 'bear']], [['teddy', 'bear'], []], [['be'], ['quiet']]]",[],steam_refresh,hot,no spin,None,"[False, False, False, False, True]",Start at 03:27 am,[]
wash the curtains using steam. mute sound.,"[[['wash'], ['curtain']], [['use'], ['steam']], [['mute'], ['sound']]]",[],steam_refresh,hot,no spin,None,"[False, False, False, False, True]",Start at 03:27 am,[]
rinse my mop heads using max spin speed.,"[[['rinse'], ['mop', 'head']], [['use'], ['spin', 'speed']], [['mop', 'head'], []], [['spin', 'speed'], ['max']], [['max'], ['speed']]]",[],normal,warm,max,medium,"[True, False, False, False, False]",Start at 03:27 am,[]
clean my bed pillows no spin but fresh rinse after 30 min.,"[[['clean'], ['bed', 'pillow']], [['clean'], ['spin']], [['bed', 'pillow'], []], [['fresh'], ['rinse']], [['30'], ['minute']]]","[[['30'], ['minute']]]",normal,warm,max,medium,"[True, False, False, False, False]",Start at 03:57 am,[]
do rinse & spin with high speed quietly.,"[[['high'], ['speed']], [['quietly'], ['spin']], [['do'], ['rinse']]]",[],normal,warm,high,medium,"[True, False, False, False, True]",Start at 03:27 am,[]
rinse and spin moderately. lock all controls.,"[[['lock'], ['control']], [['moderately'], ['spin']]]",[],rinse&spin,tap cold,max,None,"[False, False, False, True, False]",Start at 03:27 am,[]
rinse my blouses and do the low spinning. don't be noisy and disable the control.,"[[['rinse'], ['blouse']], [['do'], ['spinning']], [['disable'], ['control']], [['low'], ['spinning']], [['not'], ['noisy']], [['be'], ['noisy']]]",[],normal,warm,low,medium,"[True, False, False, True, True]",Start at 03:27 am,[]
don't use detergent,"[[['use'], ['detergent']], [['not'], ['use']], [['do'], ['use']], [['do', 'not'], ['use', 'detergent']]]",[],rinse&spin,tap cold,max,None,"[False, False, False, False, False]",Start at 03:27 am,[]
do fresh rinse and disable all controls.,"[[['disable'], ['control']]]",[],normal,warm,max,medium,"[False, False, False, True, False]",Start at 03:27 am,[]
spin with median speed after 1 and a half hour.,"[[['median'], ['speed']], [['1'], ['hour']]]","['with', '1', 'hour', 'after', [['1'], ['hour']]]",normal,warm,max,medium,"[False, False, False, False, False]",Start at 04:27 am,[]
wash my cotton tower in highest spin speed but mute the sound.,"[[['wash'], ['cotton', 'tower']], [['mute'], ['sound']], [['cotton', 'tower'], []], [['spin', 'speed'], ['high']], [['high'], ['speed']], [['wash'], ['cotton', 'high', 'speed', 'tower']]]",[],delicates,warm,medium,medium,"[False, False, False, False, True]",Start at 03:27 am,"['high spin speed not available in delicates cycle, Automatically changed to medium.']"
wash the bed sheets with rinse and spin cycle. ,"[[['wash'], ['bed', 'sheet']], [['bed', 'sheet'], []], [['spin', 'cycle'], []], [['wash'], ['bed', 'rinse', 'sheet']]]",[],rinse&spin,tap cold,max,None,"[True, False, False, False, False]",Start at 03:27 am,[]
prewash these clothes. use max soil level and spin them at max speed. ,"[[['prewash'], ['clothes']], [['use'], ['soil', 'level']], [['spin'], ['they']], [['soil', 'level'], ['max']], [['max'], ['level']], [['max'], ['speed']], [['spin'], ['max', 'speed', 'they']]]",[],normal,warm,max,max,"[False, True, False, False, False]",Start at 03:27 am,[]
wash at low spin speed and release the wrinkle.,"[[['release'], ['wrinkle']], [['spin', 'speed'], ['low']], [['low'], ['speed']]]",[],normal,warm,low,medium,"[False, False, True, False, False]",Start at 03:27 am,[]
mute the sound and do a normal cycle 2 hours after this. ,"[[['mute'], ['sound']], [['do'], ['cycle']], [['do'], ['hour']], [['normal'], ['cycle']], [['2'], ['hour']]]","[[['2'], ['hour']]]",normal,warm,max,medium,"[False, False, False, False, True]",Start at 05:27 am,[]
do fresh rinse. clean these with normal cycle. set the soil level at extra light and use tap cold water.,"[[['do'], ['rinse']], [['clean'], ['this']], [['set'], ['soil', 'level']], [['use'], ['tap', 'water']], [['soil', 'level'], []], [['tap', 'water'], ['cold']], [['fresh'], ['rinse']], [['normal'], ['cycle']], [['extra'], ['light']], [['cold'], ['water']], [['clean'], ['normal', 'cycle', 'this']], [['set'], ['soil', 'extra', 'light', 'level']]]",[],normal,tap cold,max,extra light,"[True, False, False, False, False]",Start at 03:27 am,[]
use prewash then clean these with hot water and use maximum soil level. be quiet.,"[[['use'], ['prewash']], [['clean'], ['this']], [['use'], ['soil', 'level']], [['soil', 'level'], ['maximum']], [['then'], ['clean']], [['hot'], ['water']], [['maximum'], ['level']], [['clean'], ['hot', 'water', 'this']], [['be'], ['quiet']]]",[],normal,hot,max,max,"[False, True, False, False, True]",Start at 03:27 am,[]
clean the clothes with cold water. set spin speed at medium. lock the control.,"[[['clean'], ['clothes']], [['set'], ['spin', 'speed']], [['lock'], ['control']], [['spin', 'speed'], []], [['cold'], ['water']], [['clean'], ['cold', 'water', 'clothes']], [['set'], ['spin', 'medium', 'speed']]]",[],normal,cold,medium,medium,"[False, False, False, True, False]",Start at 03:27 am,[]
use normal cycle. do fresh rinse. use high spin speed and light soil level.,"[[['use'], ['cycle']], [['do'], ['rinse']], [['use'], ['spin', 'speed']], [['spin', 'speed'], ['high']], [['soil', 'level'], ['light']], [['normal'], ['cycle']], [['fresh'], ['rinse']], [['high'], ['speed']], [['light'], ['level']]]",[],normal,warm,high,light,"[True, False, False, False, False]",Start at 03:27 am,[]
wash these with heavy soil level. release the wrinkle. do not change the control.,"[[['wash'], ['this']], [['release'], ['wrinkle']], [['change'], ['control']], [['soil', 'level'], ['heavy']], [['heavy'], ['level']], [['not'], ['change']], [['do'], ['change']], [['do', 'not'], ['change', 'control']], [['wash'], ['heavy', 'level', 'this']]]",[],normal,warm,max,heavy,"[False, False, True, True, False]",Start at 03:27 am,[]
clean these at medium spin speed and medium soil level at 10 am. do not make a sound.,"[[['clean'], ['this']], [['make'], ['sound']], [['spin', 'speed'], ['medium']], [['soil', 'level'], ['medium']], [['medium'], ['speed']], [['medium'], ['level']], [['10'], ['am']], [['not'], ['make']], [['do'], ['make']], [['do', 'not'], ['make', 'sound']], [['clean', 'clean'], ['medium', 'speed', 'this', '10', 'speed', 'this']], [['clean', 'clean'], ['medium', 'am', 'this', '10', 'am', 'this']]]","['at', '10', 'am', [['10'], ['am']]]",normal,warm,medium,medium,"[False, False, False, False, True]",Start at 10 am.,[]
use tap cold water to wash these at light soil level. fresh rinse them first.,"[[['use'], ['tap', 'water']], [['wash'], ['this']], [['rinse'], ['they']], [['tap', 'water'], ['cold']], [['soil', 'level'], ['light']], [['cold'], ['water']], [['light'], ['level']], [['fresh'], ['rinse']], [['first'], ['rinse']], [['wash'], ['light', 'level', 'this']]]",[],normal,tap cold,max,light,"[True, False, False, False, False]",Start at 03:27 am,[]
do fresh rinse and wash these gym clothes with warm water.,"[[['do'], ['rinse']], [['wash'], ['gym', 'clothes']], [['gym', 'clothes'], []], [['fresh'], ['rinse']], [['warm'], ['water']], [['wash'], ['gym', 'warm', 'water', 'clothes']]]",[],activewear,warm,high,medium,"[True, False, False, False, False]",Start at 03:27 am,[]
wash my jogger pants using activewear cycle. do it quietly.,"[[['wash'], ['jogger', 'pants']], [['use'], ['activewear', 'cycle']], [['do'], ['it']], [['jogger', 'pants'], []], [['activewear', 'cycle'], []], [['quietly'], ['do']]]",[],activewear,warm,high,medium,"[False, False, False, False, True]",Start at 03:27 am,[]
clean these polyester t-shirts with activewear cycle. use extra light soil level. do not let anyone change the control.,"[[['clean'], ['t-shirt']], [['use'], ['soil', 'level']], [['let'], ['anyone']], [['change'], ['control']], [['activewear', 'cycle'], []], [['soil', 'level'], ['light', 'extra']], [['polyester'], ['t-shirt']], [['extra'], ['level']], [['light'], ['level']], [['not'], ['let']], [['do'], ['let']], [['do', 'not'], ['let', 'anyone']], [['clean'], ['cycle', 't-shirt']]]",[],activewear,warm,high,extra light,"[False, False, False, True, False]",Start at 03:27 am,[]
use medium spin speed to clean these sports apparel at 5 pm. mute the sound.,"[[['use'], ['spin', 'speed']], [['clean'], ['sport', 'apparel']], [['mute'], ['sound']], [['spin', 'speed'], ['medium']], [['sport', 'apparel'], []], [['medium'], ['speed']], [['5'], ['pm.']], [['clean'], ['sport', '5', 'pm.', 'apparel']]]","['at', '5', 'pm', 'sound', [['5'], ['pm']]]",activewear,warm,medium,medium,"[False, False, False, False, True]",Start at 5 pm.,[]
wash these tracksuits at high spin speed with cold water after 1 hour.,"[[['wash'], ['tracksuit']], [['spin', 'speed'], ['high']], [['high'], ['speed']], [['cold'], ['water']], [['1'], ['hour']], [['wash', 'wash', 'wash'], ['high', 'speed', 'tracksuit', 'cold', 'speed', 'tracksuit', '1', 'speed', 'tracksuit']], [['wash', 'wash', 'wash'], ['high', 'water', 'tracksuit', 'cold', 'water', 'tracksuit', '1', 'water', 'tracksuit']], [['wash', 'wash', 'wash'], ['high', 'hour', 'tracksuit', 'cold', 'hour', 'tracksuit', '1', 'hour', 'tracksuit']]]","['at', '1', 'hour', 'with', 'after', [['1'], ['hour']]]",activewear,cold,high,medium,"[False, False, False, False, False]",Start at 04:27 am,[]
wash my leggings and sports bras with tap cold water. use low spin speed and light soil level.,"[[['wash'], ['legging']], [['use'], ['spin', 'speed']], [['sport', 'bras'], []], [['tap', 'water'], ['cold']], [['spin', 'speed'], ['low']], [['soil', 'level'], ['light']], [['cold'], ['water']], [['low'], ['speed']], [['light'], ['level']], [['wash'], ['cold', 'water', 'legging']]]",[],activewear,tap cold,low,light,"[False, False, False, False, False]",Start at 03:27 am,[]
do fresh rinse and wrinkle release. clean these yoga pants with cold water. ,"[[['do'], ['rinse', 'release']], [['clean'], ['yoga', 'pants']], [['rinse', 'release'], ['fresh']], [['yoga', 'pants'], []], [['fresh'], ['release']], [['cold'], ['water']], [['clean'], ['yoga', 'cold', 'water', 'pants']]]",[],activewear,cold,high,medium,"[True, False, True, False, False]",Start at 03:27 am,[]
clean my workout clothes with active wear cycle. use warm water. set soil level at medium. lock the control.,"[[['clean'], ['workout', 'clothes']], [['use'], ['water']], [['set'], ['soil', 'level']], [['lock'], ['control']], [['workout', 'clothes'], []], [['wear', 'cycle'], ['active']], [['soil', 'level'], []], [['active'], ['cycle']], [['warm'], ['water']], [['clean'], ['workout', 'active', 'cycle', 'clothes']], [['set'], ['soil', 'medium', 'level']]]",[],activewear,warm,high,medium,"[False, False, False, True, False]",Start at 03:27 am,[]
wash my colored shirts with cold water and release their wrinkles. be quiet.,"[[['wash'], ['shirt']], [['release'], ['wrinkle']], [['color'], ['shirt']], [['cold'], ['water']], [['wash'], ['cold', 'water', 'shirt']], [['be'], ['quiet']]]",[],colors,cold,max,medium,"[False, False, True, False, True]",Start at 03:27 am,[]
clean these clothes with colors cycle. use tap cold water and max spin speed.,"[[['clean'], ['clothes']], [['use'], ['tap', 'water']], [['color', 'cycle'], []], [['tap', 'water'], ['cold']], [['spin', 'speed'], ['max']], [['cold'], ['water']], [['max'], ['speed']], [['clean'], ['cycle', 'clothes']]]",[],colors,tap cold,max,medium,"[False, False, False, False, False]",Start at 03:27 am,[]
clean these dark colored t-shirts using tap cold water. set soil level at heavy and lock the control.,"[[['clean'], ['t-shirt']], [['use'], ['tap', 'water']], [['set'], ['soil', 'level']], [['lock'], ['control']], [['tap', 'water'], ['cold']], [['soil', 'level'], []], [['dark'], ['t-shirt']], [['color'], ['t-shirt']], [['cold'], ['water']]]",[],colors,tap cold,max,medium,"[False, False, False, True, False]",Start at 03:27 am,[]
wash these tie dye shirts 30 minutes after this. do fresh rinse.,"[[['wash'], ['dye', 'tie', 'shirt']], [['do'], ['rinse']], [['dye', 'tie', 'shirt'], []], [['30'], ['minute']], [['minute'], ['this']], [['fresh'], ['rinse']]]","[[['30'], ['minute']]]",colors,warm,max,medium,"[True, False, False, False, False]",Start at 03:57 am,[]
preserve the color of these fabric. use low spin and extra light soil level. do not be loud.,"[[['preserve'], ['color']], [['use'], ['spin']], [['soil', 'level'], ['light', 'extra']], [['fabric'], ['color']], [['low'], ['spin']], [['extra'], ['level']], [['light'], ['level']], [['not'], ['loud']], [['be'], ['loud']]]",[],colors,warm,low,extra light,"[False, False, False, False, True]",Start at 03:27 am,[]
do wrinkle release and clean these light color clothes with warm water and high spin speed. ,"[[['do'], ['wrinkle', 'release']], [['clean'], ['color', 'clothes']], [['wrinkle', 'release'], []], [['light', 'color'], []], [['color', 'clothes'], []], [['spin', 'speed'], ['high']], [['warm'], ['water']], [['high'], ['speed']], [['clean'], ['color', 'warm', 'water', 'clothes']]]",[],colors,warm,high,medium,"[False, False, True, False, False]",Start at 03:27 am,[]
do fresh rinse and wash these color bleeding clothes at medium spin speed and use light soil level.,"[[['wash'], ['color']], [['wash'], ['clothes']], [['use'], ['soil', 'level']], [['spin', 'speed'], ['medium']], [['soil', 'level'], ['light']], [['fresh'], ['rinse']], [['bleed'], ['clothes']], [['medium'], ['speed']], [['light'], ['level']], [['wash', 'wash'], ['medium', 'speed', 'color', 'medium', 'speed', 'clothes']]]",[],colors,warm,medium,light,"[True, False, False, False, False]",Start at 03:27 am,[]
use the color cycle to clean these clothes at 6 am tomorrow. use cold water,"[[['use'], ['color', 'cycle']], [['clean'], ['clothes']], [['use'], ['water']], [['color', 'cycle'], []], [['6'], ['am']], [['tomorrow'], ['am']], [['cold'], ['water']], [['clean'], ['6', 'am', 'clothes']]]","['at', '6', 'am', 'tomorrow', [['6'], ['am']]]",colors,cold,max,medium,"[False, False, False, False, False]",Start at 6 am.,[]
wash these dye fabric quietly. set soil level at max and lock the control.,"[[['wash'], ['dye', 'fabric']], [['set'], ['soil', 'level']], [['lock'], ['control']], [['dye', 'fabric'], []], [['soil', 'level'], []], [['quietly'], ['wash']], [['set'], ['soil', 'max', 'level']]]",[],colors,warm,max,max,"[False, False, False, True, True]",Start at 03:27 am,[]
wash these clothes as fast as possible and lock the controls.,"[[['wash'], ['clothes']], [['lock'], ['control']], [['as'], ['fast']], [['fast'], ['wash']]]",[],fast_wash,warm,max,extra light,"[False, False, False, True, False]",Start at 03:27 am,[]
clean these quickly. lock the control and do not be loud.,"[[['clean'], ['this']], [['lock'], ['control']], [['quickly'], ['clean']], [['not'], ['loud']], [['be'], ['loud']]]",[],fast_wash,warm,max,extra light,"[False, False, False, True, True]",Start at 03:27 am,[]
start fast wash in 2 hours.,"[[['start'], ['wash']], [['fast'], ['wash']], [['2'], ['hour']]]","[[['2'], ['hour']]]",fast_wash,warm,max,extra light,"[False, False, False, False, False]",Start at 05:27 am,[]
use fast wash to clean these with cold water. set the soil level at extra light.,"[[['use'], ['wash']], [['clean'], ['this']], [['set'], ['soil', 'level']], [['soil', 'level'], []], [['fast'], ['wash']], [['cold'], ['water']], [['extra'], ['light']], [['clean'], ['cold', 'water', 'this']], [['set'], ['soil', 'extra', 'light', 'level']]]",[],fast_wash,cold,max,extra light,"[False, False, False, False, False]",Start at 03:27 am,[]
mute the sound. fix the control. wash these with fast wash.,"[[['mute'], ['sound']], [['fix'], ['control']], [['wash'], ['this']], [['fast'], ['wash']], [['wash'], ['fast', 'wash', 'this']]]",[],fast_wash,warm,max,extra light,"[False, False, False, True, True]",Start at 03:27 am,[]
clean these with the fast wash cycle. use warm water and light soil level.,"[[['clean'], ['this']], [['use'], ['water']], [['wash', 'cycle'], ['fast']], [['soil', 'level'], ['light']], [['fast'], ['cycle']], [['warm'], ['water']], [['light'], ['level']], [['clean'], ['fast', 'cycle', 'this']]]",[],fast_wash,warm,max,light,"[False, False, False, False, False]",Start at 03:27 am,[]
wash these jeans clothes,"[[['wash'], ['jeans', 'clothes']], [['jeans', 'clothes'], []]]",[],jeans,cold,medium,medium,"[False, False, False, False, False]",Start at 03:27 am,[]
wash my jeans but do not leave any wrikle ,"[[['wash'], ['jeans']], [['leave'], ['any']], [['not'], ['leave']], [['do'], ['leave']], [['do', 'not'], ['leave', 'any']]]",[],jeans,cold,medium,medium,"[False, False, False, False, False]",Start at 03:27 am,[]
clean my jeans clothes and make sure to lock all the controls.,"[[['clean'], ['jeans', 'clothes']], [['lock'], ['control']], [['jeans', 'clothes'], []]]",[],jeans,cold,medium,medium,"[False, False, False, True, False]",Start at 03:27 am,[]
do not make any noises while washing these jeans.,"[[['make'], ['noise']], [['wash'], ['jeans']], [['not'], ['make']], [['do'], ['make']], [['do', 'not'], ['make', 'noise']]]",[],jeans,cold,medium,medium,"[False, False, False, False, True]",Start at 03:27 am,[]
start jeans mode after 3 hours.,"[[['start'], ['jeans', 'mode']], [['jeans', 'mode'], []], [['3'], ['hour']]]","[[['3'], ['hour']]]",jeans,cold,medium,medium,"[False, False, False, False, False]",Start at 06:27 am,[]
wash the jeans clothes after 6 hours without any wrikles.,"[[['wash'], ['jeans', 'clothes']], [['jeans', 'clothes'], []], [['6'], ['hour']]]","[[['6'], ['hour']]]",jeans,cold,medium,medium,"[False, False, False, False, False]",Start at 09:27 am,[]
clean my jeans clothes,"[[['clean'], ['jeans', 'clothes']], [['jeans', 'clothes'], []]]",[],jeans,cold,medium,medium,"[False, False, False, False, False]",Start at 03:27 am,[]
sanitize the clothes and dry them at maximum speed.,"[[['sanitize'], ['clothes']], [['dry'], ['they']], [['maximum'], ['speed']], [['dry'], ['maximum', 'speed', 'they']]]",[],sanitize,sanitize,max,medium,"[False, False, False, False, False]",Start at 03:27 am,[]
make sure to sanitize these clothes and while spinning keep the speed at high level. ,"[[['sanitize'], ['clothes']], [['keep'], ['speed']], [['high'], ['level']], [['keep'], ['high', 'level', 'speed']]]",[],sanitize,sanitize,high,medium,"[False, False, False, False, False]",Start at 03:27 am,[]
wash these clothes at sanitize mode.,"[[['wash'], ['clothes']], [['sanitize', 'mode'], []], [['wash'], ['mode', 'clothes']]]",[],sanitize,sanitize,max,medium,"[False, False, False, False, False]",Start at 03:27 am,[]
wash these dirty clothes and sanitize them while cleaning.,"[[['wash'], ['clothes']], [['sanitize'], ['they']], [['dirty'], ['clothes']]]",[],sanitize,sanitize,max,medium,"[False, False, False, False, False]",Start at 03:27 am,[]
wash them properly as they are heavily soiled and use sanitize mode too.,"[[['wash'], ['they']], [['use'], ['sanitize', 'mode']], [['sanitize', 'mode'], []], [['properly'], ['wash']], [['heavily'], ['soil']], [['too'], ['use']]]",[],sanitize,sanitize,max,heavy,"[False, False, False, False, False]",Start at 03:27 am,[]
sanitize the clothes while washing and do not make any noises while washing.,"[[['sanitize'], ['clothes']], [['make'], ['noise']], [['not'], ['make']], [['do'], ['make']], [['do', 'not'], ['make', 'noise']]]",[],sanitize,sanitize,max,medium,"[False, False, False, False, True]",Start at 03:27 am,[]
wash the clothes after an hour and they need to be sanitized.,"[[['wash'], ['clothes']], [['wash'], ['hour', 'clothes']]]",[],normal,warm,max,medium,"[False, False, False, False, False]",Start at 03:27 am,[]
sanitize the clothes before wash them and do not leave any wrinkle on them.,"[[['sanitize'], ['clothes']], [['wash'], ['they']], [['leave'], ['wrinkle']], [['not'], ['leave']], [['do'], ['leave']], [['do', 'not'], ['leave', 'wrinkle']]]",[],sanitize,sanitize,max,medium,"[False, False, True, False, False]",Start at 03:27 am,[]
clean the clothes properly after sanitizing them and they need additional rinsing.,"[[['clean'], ['clothes']], [['sanitize'], ['they']], [['need'], ['rinsing']], [['properly'], ['clean']], [['additional'], ['rinsing']]]",[],sanitize,sanitize,max,medium,"[True, False, False, False, False]",Start at 03:27 am,[]
sanitize the clothes before washing and do not leave any wrinkle while drying them.,"[[['sanitize'], ['clothes']], [['leave'], ['wrinkle']], [['drying'], ['they']], [['not'], ['leave']], [['do'], ['leave']], [['do', 'not'], ['leave', 'wrinkle']]]",[],sanitize,sanitize,max,medium,"[False, False, True, False, False]",Start at 03:27 am,[]
wash these white clothes while keeping the system lock.,"[[['wash'], ['clothes']], [['keep'], ['system', 'lock']], [['system', 'lock'], []], [['white'], ['clothes']]]",[],whitest_whites,warm,max,medium,"[False, False, False, True, False]",Start at 03:27 am,[]
use hot water to wash the white clothes and do not make any sound.,"[[['use'], ['water']], [['wash'], ['clothes']], [['make'], ['sound']], [['hot'], ['water']], [['white'], ['clothes']], [['not'], ['make']], [['do'], ['make']], [['do', 'not'], ['make', 'sound']]]",[],whitest_whites,hot,max,medium,"[False, False, False, False, True]",Start at 03:27 am,[]
clean these white clothes and use cold water.,"[[['clean'], ['clothes']], [['use'], ['water']], [['white'], ['clothes']], [['cold'], ['water']]]",[],whitest_whites,cold,max,medium,"[False, False, False, False, False]",Start at 03:27 am,[]
clean the white shirts using light soil mode with tap cold water and medium spin speed.,"[[['clean'], ['shirt']], [['use'], ['soil', 'mode']], [['soil', 'mode'], []], [['tap', 'water'], ['cold']], [['spin', 'speed'], ['medium']], [['white'], ['shirt']], [['light'], ['soil']], [['cold'], ['water']], [['water'], ['mode']], [['medium'], ['speed']]]",[],whitest_whites,tap cold,medium,light,"[False, False, False, False, False]",Start at 03:27 am,[]
use high spin mode to clean these dirty white clothes.,"[[['use'], ['spin', 'mode']], [['clean'], ['clothes']], [['spin', 'mode'], ['high']], [['high'], ['mode']], [['dirty'], ['clothes']], [['white'], ['clothes']]]",[],whitest_whites,warm,high,medium,"[False, False, False, False, False]",Start at 03:27 am,[]
wash the white shirt and dry it without any wrikle,"[[['wash'], ['shirt']], [['dry'], ['it']], [['white'], ['shirt']], [['dry'], ['wrikle', 'it']]]",[],whitest_whites,warm,max,medium,"[False, False, False, False, False]",Start at 03:27 am,[]
rinse once more after cleaning the white clothes.,"[[['clean'], ['clothes']], [['once'], ['more']], [['more'], ['rinse']], [['white'], ['clothes']]]",[],whitest_whites,warm,max,medium,"[True, False, False, False, False]",Start at 03:27 am,[]
prewash the clothes and they need additional rinsing.,"[[['prewash'], ['clothes']], [['need'], ['rinsing']], [['additional'], ['rinsing']]]",[],normal,warm,max,medium,"[True, True, False, False, False]",Start at 03:27 am,[]
